,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
1276,0671850201,MOS2,S003,22.7,41.0,-13.8,IGRJ19552+0044,CV INTERMEDIATE POLAR COHERENT OSCILLATIONS
1277,0671850201,PN,S001,13.9,41.0,-13.8,IGRJ19552+0044,CV INTERMEDIATE POLAR COHERENT OSCILLATIONS
1278,0760080201,MOS2,S002,20.1,29.4,9.8,NPS 15A,DIFFUSE X-RAY EMISSION
1279,0760080201,PN,S003,12.6,29.4,9.8,NPS 15A,DIFFUSE X-RAY EMISSION
1280,0720174401,MOS1,S001,29.7,38.3,-7.3,CoRoT 2a,STAR G7V
1281,0720174401,MOS2,S002,28.4,38.3,-7.3,CoRoT 2a,STAR G7V
1282,0720174401,PN,S003,21.4,38.3,-7.3,CoRoT 2a,STAR G7V
1283,0670380401,PN,U002,9.6,5.2,-30.9,Gl 783,STAR K2V
1284,0100240801,MOS1,S002,24.5,356.2,37.2,UZ LIB,RS CVN STAR
1285,0100240801,MOS2,S003,24.3,356.2,37.2,UZ LIB,RS CVN STAR
1286,0100240801,PN,S001,18.8,356.2,37.2,UZ LIB,RS CVN STAR
1287,0784370301,PN,S003,16.5,346.3,-40.5,ESO 235-IG 026,AGN UNCLASSIFIED
1288,0152834901,PN,S003,1.7,15.5,-0.0,NXGPS_49,EXTENDED GALACTIC OR EXTRAGALACTIC
1289,0550060901,PN,S003,9.5,315.7,-0.7,alpha Cen,STAR G2V
1290,0693870101,MOS1,S001,46.1,6.4,4.9,PSR J1741-2054,GAMMA RAY SOURCE PULSAR
1291,0720173201,MOS1,S001,26.2,38.3,-7.3,CoRoT 2a,STAR G7V
1292,0720173201,MOS2,S002,26.5,38.3,-7.3,CoRoT 2a,STAR G7V
1293,0720173201,PN,S003,22.2,38.3,-7.3,CoRoT 2a,STAR G7V
1294,0790610101,PN,S003,8.5,43.0,0.8,SGR 1900+14,GAMMA RAY BURSTS SOFT REPEATER
1295,0780320501,MOS1,S001,11.1,350.4,18.1,HD 146001,STAR B8V
1296,0211080201,PN,S003,5.4,38.6,-10.0,SA111-1925,STAR A0
1297,0651680201,PN,S003,8.7,34.7,2.5,IGR J18457+0244,UNIDENTIFIED
1298,0651630201,MOS1,U002,18.0,36.5,21.4,NPS-OFF,X-RAY BACKGROUND
1299,0651630201,PN,U002,11.6,36.5,21.4,NPS-OFF,X-RAY BACKGROUND
1300,0720173601,MOS1,S001,22.7,38.3,-7.3,CoRoT 2a,STAR G7V
1301,0720173601,MOS2,S002,25.0,38.3,-7.3,CoRoT 2a,STAR G7V
1302,0720173601,PN,S003,10.6,38.3,-7.3,CoRoT 2a,STAR G7V
1303,0780290701,MOS1,S001,13.0,334.1,12.5,HD 138995,STAR G6V
1304,0780290701,MOS2,S002,13.8,334.1,12.5,HD 138995,STAR G6V
1305,0203910201,MOS1,S001,5.4,31.3,-0.1,AX J184848-0129,X-RAY PULSATOR
1306,0784771001,MOS1,S001,8.0,343.9,-29.6,PSR J1946-54,RADIO PULSAR
1307,0784771001,MOS2,S002,8.3,343.9,-29.6,PSR J1946-54,RADIO PULSAR
1308,0111510101,MOS1,S001,13.4,11.1,-36.3,AT Microscopii,STAR M4Ve
1309,0111510101,MOS2,S002,13.7,11.1,-36.3,AT Microscopii,STAR M4Ve
1310,0720174201,MOS1,S001,26.3,38.3,-7.3,CoRoT 2a,STAR G7V
1311,0720174201,MOS2,S002,26.8,38.3,-7.3,CoRoT 2a,STAR G7V
1312,0720174201,PN,S003,17.2,38.3,-7.3,CoRoT 2a,STAR G7V
1313,0017740201,MOS1,S007,11.1,33.0,2.0,Galactic Ridge 2,EXTENDED GALACTIC OR EXTRAGALACTIC
1314,0017740201,MOS2,S008,12.2,33.0,2.0,Galactic Ridge 2,EXTENDED GALACTIC OR EXTRAGALACTIC
1315,0017740201,PN,S009,7.3,33.0,2.0,Galactic Ridge 2,EXTENDED GALACTIC OR EXTRAGALACTIC
1316,0791580501,MOS2,S003,7.7,358.6,-17.2,RXJ1856.6-3754,ISOLATED NEUTRON STAR
1317,0109463301,MOS2,S002,6.2,1.3,-33.9,RX J2022-39,CV AM HER (POLAR)
1318,0671871001,MOS1,S001,6.7,24.4,-17.8,PKS 1938-15,RADIO GALAXY RADIO LOUD/STEEP SPECT STEEP RADIO SP
1319,0671871001,PN,S003,4.1,24.4,-17.8,PKS 1938-15,RADIO GALAXY RADIO LOUD/STEEP SPECT STEEP RADIO SP
1320,0400910101,MOS1,S001,9.3,23.4,0.1,G23.5-0.0,SNR COMPOSITE TYPE II
1321,0760080301,PN,S003,13.8,29.5,10.1,NPS 16A,DIFFUSE X-RAY EMISSION
1322,0653050201,MOS1,S007,26.9,341.4,-33.4,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
1323,0653050201,PN,S009,19.6,341.4,-33.4,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
1324,0021750501,MOS2,S005,24.1,321.5,-15.3,AlphaTrA,STAR K2II
1325,0206250201,MOS1,S001,15.7,42.3,13.7,SAX J1818.7+1424,LMXRB BURSTER
1326,0206250201,MOS2,S002,15.1,42.3,13.7,SAX J1818.7+1424,LMXRB BURSTER
1327,0045340101,MOS1,U002,30.0,315.7,-0.7,Alpha Centauri,UNDEFINED
1328,0045340101,MOS2,U002,29.3,315.7,-0.7,Alpha Centauri,UNDEFINED
1329,0800230101,MOS1,S001,14.9,330.1,9.6,Nova Lup 2016,CV CLASSICAL NOVA
1330,0300240201,MOS2,S002,7.7,341.6,30.8,IRAS 15091-2107,IR GALAXY
1331,0692210301,MOS1,U002,5.6,36.6,-0.9,PSR J1901+0254,RADIO PULSAR
1332,0784770701,PN,U003,12.8,338.8,27.0,PSR J1513-25,RADIO PULSAR
1333,0762800401,MOS1,S001,12.2,4.0,-42.0,G003.95-42.01,CLUSTER OF GALAXIES ABELL CLASS >2
